列名,含义,规则
unique_id,问卷信息-唯一ID,【问卷上传】
collect_time,采集时间,"图片内的时间：
1、匹配年份 \d{4}-\d{2}-\d{2}
2、匹配时分秒：\d{2}:\d{2}:\d{2}
3、拼接1和2
4、如果为空，会使用采集时间兜底。"
province,采集省份,【问卷上传】
city_name,采集城市,【问卷上传】
act_type,活动类型：券包、完单返券、营销类活动,固定「券包」
position,位置,【问卷上传】问卷明确标明当前图片是位置几，券包有三个位置。
has_act,是否有活动,【问卷上传】
package_index,券包序号,一个position可能有多个券包，每个position从1开始编号。目前券包位置2最多有5个券包，序号是1-5
package_price,券包价格,"位置1和位置2：
1、定位 ['生效中可退', '未使用可退款'] 之一的位置，找到上方所有文本
2、按正则匹配出价格：([\d.]+)元

位置3：
1、匹配与 ['本路线专用', '超值套餐'] 同一行的 「\+([\d.]+)元」 价格信息。"
is_commuting_package,是否通勤包,"1、包含['通勤', '路线专用', '常用路线使用', '常用路线往返使用']之一，为通勤包
"
is_week_act,是否为周卡,【问卷上传】
urls,图片,【问卷上传】
coupon_index,劵编号,1开始
coupon_type,折扣类型：满减券、折扣劵,"位置1和位置2：
1、「套餐包含」下方；
2、找到上下对齐两个文本，分别对应正则 ['([\d.]+)折','([\d.]+)元'] 和 ['最高抵扣', '元可用', '任意金额可用']；
3、根据第一个匹配的正则是「折」还是「元」决定类型。

位置3：
1、 匹配规则 「[\d.]+[元折]\*[\d]+」，如提取 3元*1、9.5折*2
2、根据其中是否包含「折」决定是满减券还是折扣券"
coupon_threshold,使用门槛,"位置1和位置2：
同 coupon_type。
1、「任意金额可用」匹配，设置为0.0；
2、『满([\d.]+)元可用'』匹配其中的价格。

位置3：None"
coupon_cap,最高优惠,"位置1和位置2：
同 coupon_type。
1、折扣券：找到 「最高抵扣([\d.]+)元」 中的元；
2、满减券：同coupon_amount。

位置3：
1、固定为10元。"
coupon_amount,优惠金额/折,同coupon_type。找到「([\d.]+)元」中的金额；找到「([\d.]+)折」中的折扣除以10
err_msgs,错误信息，主要是多图异常,1、每组图片应该只有一个「套餐券详情」，否则会在这个字段报错，并清空结果
